texto,etiqueta,variante_limpia,instrumento_rol,notas,mismo_que
Landowska,INTERPRETE,Landowska,Clave,,Wanda Landowska
Lanes,INTERPRETE,Lanes,Violonchelo,,Rafael Lanes
Lasso,INTERPRETE,Lasso,,,
Leopoldo Godowsky,INTERPRETE,Leopoldo Godowsky,piano,,
Leopoldo Querol,INTERPRETE,Leopoldo Querol,Piano,,
Lidia Garbousova,INTERPRETE,Lidia Garbousova,Violonchelo,,
Los Rubians,INTERPRETE,Los Rubians,Guitarra,,
Los Siboneyes,INTERPRETE,Los Siboneyes,Orquesta,,
Louise Alexander,INTERPRETE,Louise Alexander,,,
Louise Mascart,INTERPRETE,Louise Mascart,,,
Lubka Kolessa,INTERPRETE,Lubka Kolessa,Piano,,
Lucas Moreno,INTERPRETE,Lucas Moreno,,,Antonio Lucas Moreno
Lucienne Radisse,INTERPRETE,Lucienne Radisse,Violonchelo,,
Lucio González,INTERPRETE,Lucio González,Contrabajo,,
Ludwig Funk,INTERPRETE,Ludwig Funk,Piano,,
Luis Antón,INTERPRETE,Luis Antón,Violín,,
Luis Bonaterra,INTERPRETE,Luis Bonaterra,piano,,
Luis de Rosia,INTERPRETE,Luis de Rosia,Guitarra,,
Luis Pitchot,INTERPRETE,Luis Pitchot,piano,,
Luis Villa,INTERPRETE,Luis Villa,Violonchelo,,
Luisa Menarguez,INTERPRETE,Luisa Menarguez,Arpa,,
Luisa Pequeño,INTERPRETE,Luisa Pequeño,Arpa,,
Lysbeth Hughes,INTERPRETE,Lysbeth Hughes,Arpa,,
Léon Woizikowski,INTERPRETE,Léon Woizikowski,Bailarín,,
Majerit,INTERPRETE,Majerit,Orquesta,,
Manolo Velasco,INTERPRETE,Manolo Velasco,Director,,
Manuel Fuster,INTERPRETE,Manuel Fuster,Piano,,
Manuel Garijo,INTERPRETE,Manuel Garijo,Flauta,,
Manuel Pitto Santaolalla,INTERPRETE,Manuel Pitto Santaolalla,Piano,,
Manuel Pérez,INTERPRETE,Manuel Pérez,Violín,,
Manuel Quiroga,INTERPRETE,Manuel Quiroga,Violín,,
Manuela Ballesteros,INTERPRETE,Manuela Ballesteros,Piano,,
Marcelina Blanco,INTERPRETE,Marcelina Blanco,Piano,,
Marcelo Granjany,INTERPRETE,Marcelo Granjany,Arpa,,
Margarita Albert,INTERPRETE,Margarita Albert,Piano,,
Marta Linz,INTERPRETE,Marta Linz,,,
Martínez Serrano,INTERPRETE,Martínez Serrano,Guitarra,,
Maruja Meroño,INTERPRETE,Maruja Meroño,Piano,,
Maruja Sánchez,INTERPRETE,Maruja Sánchez,Guitarra,,
María Juana Darre,INTERPRETE,María Juana Darre,Piano,,
María Lejárraga,INTERPRETE,María Lejárraga,Escritor,,
María Pachler,INTERPRETE,María Pachler,piano,,
María Rosado,INTERPRETE,María Rosado,Piano,,
María Victoria Iniesta,INTERPRETE,María Victoria Iniesta,Piano,,
Matilde Muñoz,INTERPRETE,Matilde Muñoz,Crítico musical,,
Mercedes L. Arizaga,INTERPRETE,Mercedes L. Arizaga,Piano,,
Micky McKee,INTERPRETE,Micky McKee,Artista,,
Mischa Elman,INTERPRETE,Mischa Elman,Violín,,
Moisés Simons,INTERPRETE,Moisés Simons,Director,,
Monnier,INTERPRETE,Monnier,,,
Moyel Coleman,INTERPRETE,Moyel Coleman,Artista,,
Mª Luisa Chevalier,INTERPRETE,Mª Luisa Chevalier,Órgano,,
N. Schualb,INTERPRETE,N. Schualb,,,Nikolau Schvalb
Narciso Figueroa,INTERPRETE,Narciso Figueroa,,,
Nathan Milstein,INTERPRETE,Nathan Milstein,Violín,,
Nell Cook,INTERPRETE,Nell Cook,Artista,,
Nicanor Zabaleta,INTERPRETE,Nicanor Zabaleta,Arpa,,
Nikolau Schvalb,INTERPRETE,Nikolau Schvalb,,,
Nina Kochitz,INTERPRETE,Nina Kochitz,,,
Nita Guerri,INTERPRETE,Nita Guerri,Cantante,,
Niño Sablea,INTERPRETE,Niño Sablea,Guitarra,,
O.K,INTERPRETE,O.K,Orquesta,,
Ofelia de Aragón,INTERPRETE,Ofelia de Aragón,Guitarra,,
Osvaldo Fresedo,INTERPRETE,Osvaldo Fresedo,Bandoneón,,
Pablo Casals,INTERPRETE,Pablo Casals,Violonchelo,,
Pagoaga,INTERPRETE,Pagoaga,director,,
Pantaleón Minguella,INTERPRETE,Pantaleón Minguella,Guitarra,,
Paquita Morán,INTERPRETE,Paquita Morán,Guitarra,,
Pascual Camps,INTERPRETE,Pascual Camps,Violín,,
Patull,INTERPRETE,Patull,director,,
Paul Grummer,INTERPRETE,Paul Grummer,Violonchelo,,
Paul Whiteman,INTERPRETE,Paul Whiteman,Director,,
Pedro de Lerma,INTERPRETE,Pedro de Lerma,Piano,,
Pedro Valterra,INTERPRETE,Pedro Valterra,,,
Pierre Lubochitz,INTERPRETE,Pierre Lubochitz,Violín,,
Pilar Cavero,INTERPRETE,Pilar Cavero,,,
Pilar López,INTERPRETE,Pilar López,Piano,,
Radio Barcelona,INTERPRETE,Radio Barcelona,Orquesta,requiere contexto Orquesta,
Radio Bilbao,INTERPRETE,Radio Bilbao,Orquesta,requiere contexto Orquesta,
Radio Girls,INTERPRETE,Radio Girls,(sin especificar),requiere contexto Orquesta,
Radio-París,INTERPRETE,Radio-París,Orquesta,Combinación de artistas,
Rafael Benedito,INTERPRETE,Rafael Benedito,Director,,
Raya Garbousova,INTERPRETE,Raya Garbousova,Violonchelo,,
Raúl R. Rosales,INTERPRETE,Raúl R. Rosales,Piano,,
Renato Benedetti,INTERPRETE,Renato Benedetti,,,
Renato Le Roy,INTERPRETE,Renato Le Roy,Flauta,,
Ricardo García Carrese,INTERPRETE,Ricardo García Carrese,Violín,,
Ricardo Hernández,INTERPRETE,Ricardo Hernández,Violín,,
Ricardo Villa,INTERPRETE,Ricardo Villa,Director,,
Robert Gomberg,INTERPRETE,Robert Gomberg,Violín,,
Roberto Casademus,INTERPRETE,Roberto Casademus,Piano,,
Rosario Barrenechea,INTERPRETE,Rosario Barrenechea,Violín,,
Rosario Huidobro,INTERPRETE,Rosario Huidobro,Guitarra,,
Rosaura Coma,INTERPRETE,Rosaura Coma,Piano,,
Rosthental,INTERPRETE,Rosthental,,,
Rubinstein,INTERPRETE,Rubinstein,,,Erna Rubinstein
Rudolf Serkin,INTERPRETE,Rudolf Serkin,Piano,,
Sainz de la Maza,INTERPRETE,Sainz de la Maza,Guitarra,,
Salvador Bartolozzi,INTERPRETE,Salvador Bartolozzi,Escenógrafo,,
Salvador Seguí,INTERPRETE,Salvador Seguí,Director,,
Salvatore,INTERPRETE,Salvatore,Crítico musical,,
Santos Gandía,INTERPRETE,Santos Gandía,Violonchelo,,
Schulz,INTERPRETE,Schulz,,,
Sedaño,INTERPRETE,Sedaño,violín,,
Sergio Bortkiewicz,INTERPRETE,Sergio Bortkiewicz,Piano,,
Stokowski,INTERPRETE,Stokowski,Director,,
Sulima Stravinsky,INTERPRETE,Sulima Stravinsky,Piano,,
Teatro de la Comedia,INTERPRETE,Teatro de la Comedia,,,
Teatro de la Zarzuela,INTERPRETE,Teatro de la Zarzuela,,,
Tellier,INTERPRETE,Tellier,Director,,
Telmanyu,INTERPRETE,Telmanyu,,,
Telmo Vela,INTERPRETE,Telmo Vela,Violín,,
Telémaco Lambrino,INTERPRETE,Telémaco Lambrino,,,
Teodoro de Gracia,INTERPRETE,Teodoro de Gracia,Violín,,
Teresa Alonso,INTERPRETE,Teresa Alonso,Piano,,Teresa Alonso Posada
Teresa Alonso Posada,INTERPRETE,Teresa Alonso Posada,Piano,,
Teresa González,INTERPRETE,Teresa González,Piano,,
Terán,INTERPRETE,Terán,,,Tomás Terán
The Blues Ladies,INTERPRETE,The Blues Ladies,Orquesta,,
The Saccavel,INTERPRETE,The Saccavel,Orquesta,Extraído de combinación: The Saccavel-Jazz,
The Saccavel-Jazz,INTERPRETE,The Saccavel-Jazz,Orquesta,Combinación de artistas,
Thibaud,INTERPRETE,Thibaud,,,Jacques Thibaud
Thomas Lipton,INTERPRETE,Thomas Lipton,Artista,,
Tomás Terán,INTERPRETE,Tomás Terán,Piano,,
Tonie Noder,INTERPRETE,Tonie Noder,Violín,,
Toscanini,INTERPRETE,Toscanini,Director,,
Trinidad García,INTERPRETE,Trinidad García,Guitarra,,
Trude Armbruster,INTERPRETE,Trude Armbruster,Violín,Extraído de combinación: Trude Armbruster-Blecher,
Trude Armbruster-Blecher,INTERPRETE,Trude Armbruster-Blecher,Violín,Combinación de artistas,
Valentín Martín,INTERPRETE,Valentín Martín,Saxofón,,
Venios Kousnezoff,INTERPRETE,Venios Kousnezoff,,,
Várela Silvari,INTERPRETE,Várela Silvari,director,,
W. J. Clemens,INTERPRETE,W. J. Clemens,Violín,,
W. Kempff,INTERPRETE,W. Kempff,Piano,,
Walter Damrosch,INTERPRETE,Walter Damrosch,Director,,
Walter Gieseking,INTERPRETE,Walter Gieseking,Piano,,
Walter Rummel,INTERPRETE,Walter Rummel,Piano,,
Wanda Landowska,INTERPRETE,Wanda Landowska,Clave,,
Wilheim Bachhaus,INTERPRETE,Wilheim Bachhaus,Piano,,
Wladimiro Horowitz,INTERPRETE,Wladimiro Horowitz,Piano,,
Wolf,INTERPRETE,Wolf,,,Erick Wolf Strauss
Wolsthal,INTERPRETE,Wolsthal,Violín,,
Yvanne Canale,INTERPRETE,Yvanne Canale,Violín,,Ivonne Canale
Zino Francescatti,INTERPRETE,Zino Francescatti,Violín,,
Álvarez Cantos,INTERPRETE,Álvarez Cantos,"Compositor/pianista, Director",,
Ángel Barrios,INTERPRETE,Ángel Barrios,Guitarra,,
Ángel Currás,INTERPRETE,Ángel Currás,Piano,,
